identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
1400 North Avenue (Court Building parking lot),Spoon Popkin,Spoon,Popkin,06/30/05 12:00 AM,"-76.57662999999991, 39.316199999999924",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-_58tYomIrTnpkvaNQiOZQfBkGWyUeQl5v9dthQ0X8M?filename=S.+Popkin+T.+Miller+Tribute+Panel1.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
W. Ostend and James Sts.,Mary and Terry Carfagno Ferguson and Van Tassell,Mary and Terry,Carfagno Ferguson and Van Tassell,06/21/05 12:00 AM,"-76.62630000000001, 39.266940000000034",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-7C22iH7j4gaPNq0NCz_aPtPm2hKzgbJuOCN8QTS4jk?filename=Skateboarding+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1327 Washington Boulevard, Barrister School (interior)",Charles and Donald Carroll and Tyson,Charles and Donald,Carroll and Tyson,06/28/05 12:00 AM,"-76.63572931347767, 39.28032465761226",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-E9oH4xyf4QOt03UFhyb4kJalAPbAFfRuOSa-r7hG8U?filename=Charles+Carroll+34+Donal+Tyson.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1756 E. Preston St.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/20/05 12:00 AM,"-76.59271861631896, 39.30541141481342",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-Ww8s3wudL0pE47_Ww-4gH46ddgu_J_qDK3CuTnXbB4?filename=ferguson+1756+e+preston+st+2.4.04.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
4501 Curtis Avenue,Peggy Ward,Peggy,Ward,06/27/05 12:00 AM,"-76.5868010773662, 39.225039005054896",https://data.baltimorecity.gov/views/zqh4-9ud5/files/-XggIgigxzzMsxNb9ypp_5bDTkBicZRM-DpWpGeRZWM?filename=IMG_0192%5B1%5D&content_type=image%2Fjpeg%3B+charset%3Dbinary
1339 E. North Ave.,Tom Miller,Tom,Miller,06/14/05 12:00 AM,"-76.59960742306345, 39.31189552664472",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0ki7_5mCamA5DXbJsO9KsZUMKPb2LoGibHZogLdfsu0?filename=miller+-+harford+%26+north.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
4004 Frederick Ave.,Lyle Kissack,Lyle,Kissack,06/22/05 12:00 AM,"-76.68254290060548, 39.281759245442856",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0v0JmVjOe8L9udhMIp6QlAQNTHQDdRr6XWRA8up8AJY?filename=kissack+-+4004+Frederick+Ave.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
5700 York Rd.,Antonio Rodriquez,Antonio,Rodriquez,06/13/05 12:00 AM,"-76.6099226467395, 39.359451675554055",https://data.baltimorecity.gov/views/zqh4-9ud5/files/0ZmEgH04uimAKc9s3hWSab5K1vGvLG77f1irV85E30I?filename=rodriquez-525+benninghaus+rd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
412 S. Broadway,Eric Monastario,Eric,Monastario,06/22/05 12:00 AM,"-76.5936179383483, 39.286183909827",https://data.baltimorecity.gov/views/zqh4-9ud5/files/1ZE1vv25BnlZVa6iJWP_5ldC7f7x2w8YJHUDpFDtx2s?filename=monastario+-+412+S+Broadway.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1398 Mt Royal Avenue, Midtown Academy (interior)",Shawn James,Shawn,James,06/29/05 12:00 AM,"-76.62196512234492, 39.308377667711596",https://data.baltimorecity.gov/views/zqh4-9ud5/files/27lxXAjWbg9Ef1v_rOXuhhOlOZ6MyJCMaOUBvSaU6jk?filename=Shawn+James+and+Midtown+Academy+2007.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
